Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track,Year
Beautiful Girl,Beautiful Girl,Luciano,2022-04-28,DECE72201083,3255,24.1,191569959,73054,4131980,57.0,55509965,448500,690,12323369,129718183,80052391,16.0,12300,,13.0,101700,7.0,611,,343759,0,2022
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)","After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Kali Uchis,2018-01-12,GBUM71706492,3256,24.1,589832336,139494,20487412,74.0,208632840,2426614,43833,21945800,118952804,58506780,88.0,2371,,31.0,101096,21.0,19561450,14137,1800184,0,2018
Tï¿½ï¿½ Me Dejaste De Qu,Tï¿½ï¿½ Me Dejaste De Querer (feat. Niï¿½ï¿½o de Elche & La ,C. Tangana,2020-11-05,ES5022000718,3277,24.0,401979272,80139,15198667,66.0,236719624,1667710,101915,18751200,203030554,86821613,75.0,15171,6,33.0,364216,13.0,232813,694,1750278,0,2020
Spotless (feat. The Lumineers),Spotless (feat. The Lumineers),Zach Bryan,2023-08-24,USWB12304905,3271,24.0,157676395,21485,5429963,76.0,5025676,28970,3492,308886,2359449,3948452,13.0,8672,302,4.0,515925,59.0,12486187,3596,118515,1,2023
These Walls,Radical Optimism,Dua Lipa,2024-05-03,GBAHT2400111,3284,24.0,37789672,2484,49070048,,,,,,,56004473,34.0,3623,,35.0,1517880,49.0,2656320,165,48447,1,2024
Egwu,Egwu,Chike,2023-12-15,QZW9L2379698,3272,24.0,35119540,2907,7078317,66.0,45526146,393618,,11483596,163624449,138286932,24.0,1944,,4.0,612699,16.0,,,1958847,0,2023
Die For You (Remix Acapella),Die For You (Remix Acapella) - Single,The Weeknd,2023-03-02,USUG12301604,3281,24.0,,,,,,,,,,,,280002,,,,,,,,0,2023
Me Rehï¿½ï,Me Rehï¿½ï,Danny Ocean,2016-09-16,USWL11700128,3274,24.0,1779760815,90161,37656145,69.0,734259158,3624282,513775,50587031,371899383,6608,136.0,23294,82,57.0,1437169,6.0,,,,0,2016
Baby you,Baby you,ýýýýýý,2023-01-18,JPCO02230140,3273,24.0,30361093,6140,1321340,52.0,30346457,499318,1530302,159193521,1949963259,70002169,16.0,114,,,,4.0,,,250538,0,2023
CUAL ES ESA,FERXXOCALIPSIS,Feid,2023-12-01,USUM72318210,3285,24.0,84131713,9659,7789551,71.0,46945484,239851,229,1550,28600,76010877,5.0,3267,,6.0,3588081,1.0,145825,101,154493,1,2023
Armed And Dangerous,Goodbye & Good Riddance,Juice WRLD,2018-05-23,USUG11802039,3283,24.0,786839663,128506,20744090,70.0,369178947,2899865,115366,15447249,108771380,52186744,37.0,17,28,14.0,35425,8.0,36174479,82435,763212,1,2018
Salimo de Noche,Salimo de Noche,Tiago PZK,2021-10-21,AR3N42100003,3275,24.0,315581950,56373,8132909,59.0,200961304,1909013,203539,88373861,767313472,280284318,15.0,5092,,15.0,62708,7.0,21095,,346879,1,2021
"Eladio Carrion: Bzrp Music Sessions, Vol. 40","Eladio Carrion: Bzrp Music Sessions, Vol. 40",Bizarrap,2021-06-09,UYB282101016,3276,24.0,312622847,59149,10135558,66.0,275292905,3116842,71000,18807302,190656582,1635575,19.0,403,,7.0,121113,6.0,2822483,1630,515254,1,2021
Love,AFROBOY,Kouz1,2023-01-13,DGA082226042,3269,24.0,41059494,17144,2565553,40.0,76632734,573257,821200,62289548,1163210746,,4.0,2210,,1.0,6562,,,,510815,0,2023
La Gozadera,Full Circle: The Live Anthology,Gente De Zona,2011-11-20,USSD11500071,3286,24.0,613120952,70633,25238321,69.0,1740143685,4862755,134831,27997984,266381642,268187596,105.0,19259,59,48.0,157490,46.0,105181711,88056,4595901,0,2011
Skechers,Skechers,DripReport,2020-01-12,QZFYX2083092,3280,24.0,402600493,78831,9948573,60.0,31685487,843639,1921469,308754044,2812434668,70368,41.0,,,8.0,62612,2.0,6114736,122858,3331270,1,2020
I Feel Like I'm Drowning,I Feel Like I'm Drowning,Two Feet,2017-11-10,USUM71709320,3270,24.0,503915156,116054,26974343,72.0,395172100,4550650,172195,57781993,485983172,19024819,10.0,28138,73,10.0,106988,10.0,133226702,41440,5040350,0,2017
Ando Enfocado,Ando Enfocado,Jaziel Avilez,2022-11-18,QZTGS2200203,3278,24.0,191918763,17921,8023886,67.0,168330437,768931,51300,4813141,63785723,,6.0,6,3,2.0,50523,6.0,25400655,3262,404205,0,2022
First Person Shooter (feat. J. Cole),For All The Dogs,Drake,2023-10-06,USUG12306094,3282,24.0,328526298,14390,6681758,,17047473,217601,93800,18344787,197098789,407,24.0,37,,6.0,123064,,,,,0,2023
Downtown,Downtown,Anitta,2017-11-19,BRWMB0700761,3279,24.0,678928131,57167,19566520,72.0,775603021,5185313,272600,72091395,567535888,419111609,58.0,8828,141,144.0,254568,46.0,57268252,20138,2588672,0,2017
Crï¿½ï¿,Crï¿½ï¿,KAROL G,2018-11-02,USUM71817050,3287,24.0,474863499,33671,14288251,67.0,817844545,3801744,22342,1320930,21632035,149759944,28.0,6537,8,24.0,209963,34.0,60496578,8863,51229,0,2018
"Go Loko (feat. Tyga, Jon Z)",Go Loko,YG,2019-05-03,USUM71904934,3306,23.9,359828344,77046,11168503,56.0,294072510,3184637,1311823,40532086,289928883,3159297,29.0,13007,97,21.0,37239,4.0,47722670,61724,2142565,1,2019
REMIX EXCLUSIVO,REMIX EXCLUSIVO,Feid,2023-03-17,USUM72304040,3292,23.9,185448173,32140,17704359,66.0,64774453,486024,17536,2313721,19349275,5630,18.0,4148,25,5.0,381761,19.0,3645201,353,347852,1,2023
"ZEIT, DASS SICH WAS DREHT","ZEIT, DASS SICH WAS DREHT",$OHO BANI,2024-02-23,DEKF22400164,3291,23.9,54065563,7779,9672092,73.0,6744201,72802,,,,89825480,18.0,7736,,16.0,9108102,16.0,,,198646,1,2024
Corazï¿½ï¿½n Roto pt. 3 (feat. Jhayco & Ryan Cas,Corazï¿½ï¿½n Roto p,Brray,2023-09-08,USUM72313435,3297,23.9,139751220,18392,12791215,20.0,49641305,248150,,,,28619808,14.0,,,13.0,211845,,,,235413,1,2023
penjaga hati,penjaga hati,Nadhif Basalamah,2023-06-21,DGA052306119,3304,23.9,252681087,11425,9250560,76.0,99627762,516029,,35520433,341258424,45212529,10.0,4037,,,,,,,163467,0,2023
"Vaathi Coming (From ""Master"")","Vaathi Coming (From ""Master"")",Anirudh Ravichander,2020-03-10,INS172000675,3300,23.9,94152948,9693,3944785,56.0,675223784,6031429,878600,51767552,848894091,156425286,7.0,323,,,,8.0,14043,,166731,0,2020
3 Headed Goat (feat. Lil Baby & Polo G),3 Headed Goat,Lil Durk,2020-05-07,USUM72009132,3294,23.9,354889332,121632,12554800,65.0,143802247,1597342,32776,14487556,91865926,19727912,53.0,5126,,7.0,47181,7.0,24480728,26981,881261,1,2020
Monica,LOVE AND CHAOS,Kuami Eugene,2023-10-12,USUYG1502416,3298,23.9,3604452,787,624598,,7474271,69482,839100,9769727,167597754,7275696,4.0,322,,,,,7910,32,216973,1,2023
Home (Lala),Expectations,Dayzy,2023-01-17,QMFMF2214684,3288,23.9,,1,63,,307164348,603059,,,,26664062,,7,,,,,,,2,0,2023
La Playa,La Playa,Myke Towers,2019-04-09,QM6MZ1924281,3290,23.9,322757243,60278,9152097,62.0,640816810,3577858,191433,28268064,215995105,4594525,26.0,1370,27,5.0,23543,16.0,18991444,10517,833830,1,2019
ýýýýýýýý ýýýýýýýýýý - ýýýýýýýýýý,ýýýýýýýý ýýýýýýýýýý - ýýýýýýýýýý - Single,DJW9,2023-05-16,QZK6L2307991,3303,23.9,,8,55,,230878707,1434387,,,,5869394,,357,,,,,,,42191,0,2023
UN RAGAZZO UNA RAGAZZA,UN RAGAZZO UNA RAGAZZA,The Kolors,2024-02-07,ITQ002400024,3295,23.9,43499127,2622,6350531,16.0,25364611,117410,,,,198024759,13.0,22672,,5.0,3104127,14.0,19414,,323924,0,2024
Pasilyo,Pasilyo,SunKissed Lola,2022-10-28,AUBEC2225179,3301,23.9,219619875,22109,8739702,69.0,99634133,478880,629683,71365682,513855630,,4.0,1523,,,,,,,269368,0,2022
Wasted Summers,Wasted Summers,juju<3,2023-07-12,QZNWT2328449,3307,23.9,145323071,25526,11685238,73.0,3663144,87691,272260,104929528,725884052,24535,10.0,67,93,,,,,,230133,0,2023
Ruin,Ruin,USHER,2024-02-02,QZS7J2388470,3296,23.9,19485870,2963,10829291,,8261042,139661,,,,85979923,38.0,37311,155,4.0,98287,32.0,3504611,728,330495,0,2024
Hasta la Raï¿½,Hasta la Raï¿½,Natalia Lafourcade,2015-01-06,MXF011400582,3310,23.9,657268053,85246,30225538,74.0,1022323850,6592447,1278026,307053317,2833651298,13674137,62.0,7945,63,39.0,1228654,62.0,24982305,20136,,0,2015
RATATATA,RATATATA,BABYMETAL,2024-05-23,GBDHC2549601,3289,23.9,12875105,2081,11902188,73.0,1913446,61995,,,,27144919,8.0,112,,8.0,394285,13.0,96725,87,19323,1,2024
Seasons,Seasons,Thirty Seconds To Mars,2023-08-15,USC4R2228396,3311,23.9,21188649,3940,2622151,53.0,3560845,38522,7977,1643924,34908043,13637534,22.0,131214,114,14.0,68273,13.0,3379301,492,518264,1,2023
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,2019-04-25,NLM5S1900528,3314,23.9,650003788,101864,28028039,66.0,81796283,973317,1827953,140205934,1556374953,228229299,119.0,2151,,71.0,1362975,18.0,18664339,11955,2791949,1,2019
Con La Brisa,Black Panther: Wakanda Forever - Music From and Inspired By,Foudeqush,2022-11-04,USHR12244835,3313,23.9,92384851,21304,1941527,59.0,170892300,978438,41600,33841573,326613325,,9.0,194,28,1.0,33,,,,1926994,0,2022
Ademï¿½ï¿½s de Mï¿½ï¿½,Ademï¿½ï¿½s de Mï¿½ï¿½,Rusherking,2021-03-04,QM4TX2108898,3309,23.9,206311125,38601,7092659,62.0,452730002,3243360,,,,108084173,10.0,204,6,5.0,33769,8.0,,,266387,1,2021
Someone To You,Someone to You,BANNERS,2017-06-09,USUM71705215,3312,23.9,840041803,147478,46983313,70.0,219305472,2631856,479639,177285316,1133729550,38730,69.0,166006,50,22.0,154103,16.0,15118341,19027,5463138,0,2017
Show Yourself,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),Idina Menzel,2019-11-15,USWD11994671,3299,23.9,261261513,22264,11996134,62.0,636887969,3145041,12708,11647515,85253285,49066773,28.0,996,,2.0,12065,8.0,60854875,89227,271492,0,2019
Cheat On Me (feat. Dave),Cheat On Me (feat. Dave),Burna Boy,2023-08-22,USAT22307525,3293,23.9,57146959,26832,6612892,58.0,10407451,123510,,1083,16954,567550,31.0,5236,,12.0,294513,20.0,1096378,165,276612,1,2023
Winners In Paris,Winners In Paris,Sleepy Hallow,2024-05-08,USRC12401281,3308,23.9,9889717,1826,25270438,,,,,,,,15.0,25,16,13.0,357335,16.0,346143,215,25938,1,2024
In Your Love,In Your Love,Tyler Childers,2023-07-27,USRC12300844,3305,23.9,86069322,17650,15787518,60.0,15451799,202322,27450,10266486,101213993,151406536,25.0,34979,23,4.0,32137,69.0,23037029,5746,287728,0,2023
Poker Face,The Fame,Lady Gaga,2008-01-01,USUM70824409,3302,23.9,1285242562,216338,88471248,77.0,256379013,2156909,265724,129356785,1231170484,316,172.0,287903,268,98.0,1410983,65.0,283521080,769916,8551662,0,2008
ýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýý,MORGENSHTERN,2024-03-08,RUAGV2401222,3328,23.8,11170433,2065,364180,61.0,35976070,1087118,,5014,35066,,11.0,3,,2.0,34118,,,,428081,1,2024
"Vigdiyan Heeran (From ""Honey 3.0"")",Honey 3.0,Yo Yo Honey Singh,2024-03-15,INZ031414584,3331,23.8,12044437,361,1194858,,46011423,1888358,,,,,,5,,,,8.0,,,64035,0,2024
Que Hay Amor,Que Hay Amor,Cris Mj,2024-04-04,QM6MZ2424574,3322,23.8,30160112,2429,15875714,73.0,22379808,224346,,,,24278649,2.0,2,,1.0,103424,1.0,296277,53,34074,1,2024
Boogieman,Boogieman,EBK Jaaybo,2024-04-24,QZWA32200518,3321,23.8,21255642,3519,34773501,73.0,5828561,86906,,,,,8.0,1,4,3.0,32708,4.0,173780,826,125336,1,2024
ýýýýýýýýýý,ýýýýýýýýýý - Single,NLO,2023-05-02,FRX452361306,3338,23.8,7900402,4782,367497,1.0,146296974,819226,258850,16582173,215446483,306023843,7.0,12,,,,,,,998296,0,2023
Overcompensate (edit),Overcompensate,Twenty One Pilots,2024-02-29,USAT22401064,3339,23.8,12478109,1427,5707433,,19304985,561923,,,,20753976,19.0,27143,3,8.0,331307,2.0,1028710,166,179749,0,2024
"Maa Nammakam Nuvve Jagan, Vol 1","Maa Nammakam Nuvve Jagan, Vol 1",Jagananna Connects,2024-03-04,TCAHZ2460573,3336,23.8,200302,12,597,,57962118,45667,,,,,,,,,,,,,450,0,2024
Stunnin' (feat. Harm Franklin),Stunnin' (feat. Harm Franklin),Curtis Waters,2020-05-19,QZES82074435,3320,23.8,312678365,67390,12125007,56.0,68518582,1252622,1540013,271840657,2130678972,60449,44.0,34306,,22.0,34948,12.0,14695763,7615,2434937,1,2020
Privileged Rappers,Her Loss,Drake,2022-11-04,USUG12208602,3330,23.8,167840439,54445,11034203,64.0,25641544,341459,11619,6189301,52937881,1826933,6.0,24,118,,,,17826325,2084,420954,1,2022
Beautiful As You,Beautiful As You,Thomas Rhett,2024-05-10,QZRD92405047,3316,23.8,9327924,878,21394629,72.0,875363,15615,,,,,14.0,8050,23,,,30.0,4571242,391,41301,0,2024
Umbrella,Good Girl Gone Bad,Rihanna,2007-01-01,USUM70736771,3340,23.8,1535595924,236327,123654318,77.0,1266946594,7227133,14079,13327525,123440263,168343059,249.0,262819,139,108.0,2095700,75.0,,,166195,0,2007
Candy,Candy,Doja Cat,2018-03-23,USRC11801164,3323,23.8,404872050,55578,17796199,72.0,89852977,1063400,3688018,295279928,3235980364,4134052,18.0,970,,12.0,139821,5.0,18176427,44010,2475830,1,2018
All I Need,Javari,Tyler Antonius,2024-03-11,QZS8H2110965,3318,23.8,168663071,184,114412,,,,,,,,,,,,,,,,1875653,1,2024
Enough Is Enough,AUSTIN,Post Malone,2023-07-28,USUM72306021,3326,23.8,106740885,16395,7898986,66.0,4758436,46227,1657,748350,12122087,5692276,10.0,48065,407,19.0,334708,14.0,26114309,1897,432706,1,2023
Baddies,Baddies - Single,Aitch,2024-06-06,QM6MZ2489483,3315,23.8,5698784,846,15037150,67.0,,,,,,,21.0,221,,6.0,2866896,36.0,,,11519,1,2024
Baila Conmigo (with Rauw Alejandro),Baila Conmigo (with Rauw Alejandro),Selena Gomez,2021-01-29,USUG12100193,3335,23.8,479276199,61386,12336155,60.0,228278348,3170402,97508,25648300,303099826,53842839,95.0,34379,135,30.0,592380,58.0,29045490,7860,1495399,0,2021
Love Me,I Am Not A Human Being II (Japan Version),Lil Wayne,2013-01-01,USCM51300136,3317,23.8,773746724,52272,8515549,27.0,121852617,1286777,61790,18974621,123125094,3396,20.0,,,,,1.0,1199048660,714440,,1,2013
Asï¿½ï¿½ Lo Quiso ,DESVELADO,Eslabon Armado,2023-04-28,USE7D2300024,3327,23.8,173061521,18616,5085706,67.0,53668901,343308,143900,22419288,239225982,53205932,11.0,2,1,2.0,680,2.0,23293442,2938,604065,0,2023
Rag Doll - Live,Greatest Hits (Deluxe),Aerosmith,2023-08-18,USUG12301903,3332,23.8,1598680,45,1624,,,,,,,,,,,,,,153520210,28829,,0,2023
Moon,Donda,Kanye West,2021-08-29,USUM72116291,3329,23.8,300082779,103366,12996384,65.0,26665548,457381,35728,30439067,259653952,20581,25.0,634,2,5.0,3899,10.0,2857813,4005,427988,0,2021
Notion,Futureproof,The Rare Occasions,2016-08-05,USHM21617726,3325,23.8,597718233,172980,21596820,76.0,152225528,2379610,427031,256949531,1985146213,,11.0,432,57,11.0,24591,6.0,6377646,15398,3504438,0,2016
Essence (feat. Justin Bieber & Tems),Essence (feat. Justin Bieber & Tems),Wizkid,2021-08-13,USRC12102450,3333,23.8,142075177,43680,10012685,58.0,38137678,322681,71600,3411107,38844483,107261011,81.0,120200,,24.0,772263,52.0,127324521,38794,1964096,0,2021
Outskirts,Outskirts,Sam Hunt,2023-03-10,USUM72302885,3334,23.8,66067682,7457,9164334,65.0,7470172,52452,411,219581,2892289,,24.0,141315,68,5.0,879876,12.0,35832045,2449,241991,0,2023
X,X,Nicky Jam,2018-02-22,USSD11800024,3319,23.8,981323727,120261,29116272,73.0,87459823,548954,55663,50590230,371899059,1571205,110.0,38418,341,78.0,1105005,52.0,162612776,42457,13561186,0,2018
Old Days,Old Days,Lil Durk,2024-02-23,USQX92400663,3337,23.8,9682984,3542,6763625,,14270016,247623,,,,837599197,14.0,176,43,12.0,159423,18.0,4898992,867,96017,1,2024
boyfriend (with Social House),boyfriend,Ariana Grande,2019-08-02,USUG11902591,3324,23.8,809537829,72598,26362809,71.0,372025118,5569680,193998,65714726,449615555,205238924,60.0,4004,,24.0,199614,15.0,54140317,23831,2626276,1,2019
Girls Just Wanna Have Some,Girls Just Wanna Have Some,dreamsoda,2024-05-30,CA5KR2463646,3440,23.7,51035638,,,,,,,,,,,,,,,,,,,0,2024
"10,000 Hours","10,000 Hours (with Justin Bieber)",Dan + Shay,2019-10-04,USWB11902408,3364,23.7,1060667446,170,110712,15.0,,,1100000,42020635,381934707,,124.0,259442,,49.0,158029,6.0,214049080,134289,3466968,0,2019
As the World Caves In,As the World Caves In,Sarah Cothran,2021-06-10,QZHNB2115936,3358,23.7,285568439,67189,16107840,65.0,161956855,3891055,312854,290498191,1818254854,4255620,13.0,781,,2.0,5068,,3182107,8075,2220692,0,2021
Dile a Tu Orgullo (En Vivo),Dile a Tu Orgullo (En Vivo) - Single,Luis Alfonso Partida El Yaki,2022-01-28,USA2P2201542,3362,23.7,94677649,9726,5274940,58.0,380478131,958443,28439,2397842,39716201,37578282,8.0,3860,17,1.0,4460,9.0,13220770,2256,405976,0,2022
Neverender,Neverender,Justice,2024-04-25,FR8EU2300010,3359,23.7,18919068,4186,20278718,74.0,1025503,18910,,,,,24.0,2928,10,28.0,2030635,107.0,340402,128,73614,0,2024
Lottery (feat. LU KALA),Lottery (feat. LU KALA),Latto,2023-02-17,USRC12203634,3351,23.7,64851689,10684,6385271,57.0,26844412,215475,56800,9759230,127114832,5768557,52.0,125036,1319,14.0,226409,26.0,27917367,3645,1254913,1,2023
Sunshine,Sunshine,Tyga,2022-08-12,USUYG1436663,3363,23.7,85785871,28868,3335711,60.0,12121852,157411,813,171609,2095787,,9.0,172982,894,5.0,45439,16.0,23149476,2410,1018403,1,2022
Si Tu Novio Te Deja Sola,Si Tu Novio Te Deja Sola,J Balvin,2017-03-03,USUM71702120,3347,23.7,426104353,47827,17515452,68.0,1075650402,4140985,7160,2166168,19811260,169913135,50.0,2239,,16.0,100201,20.0,60221325,16680,1316950,1,2017
Batï¿½ï¿½k ,Karï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,Semicenk,2023-12-15,DGA0Q2317094,3360,23.7,56695409,4559,4098516,68.0,63800824,219647,,,,289637676,3.0,1643,,2.0,1581911,,,,239217,0,2023
SHAKE SUMN,CALL DA FIREMAN,DaBaby,2023-05-05,USUM72306548,3343,23.7,70418045,19968,17088080,60.0,39812848,590392,292327,95802273,767711351,82291,13.0,6994,2355,4.0,45507,,18424276,9562,519634,1,2023
Chained To The Rhythm,Chained To The Rhythm,Katy Perry,2017-02-10,USUM71700560,3354,23.7,571538542,59626,15052991,64.0,798537539,5042041,25893,15112958,68206300,195190281,100.0,84986,15,48.0,173715,24.0,58782918,33474,8340225,0,2017
Afterglow,#NAME?,Ed Sheeran,2020-01-01,GBAHS2001193,3345,23.7,461495506,64344,35844454,63.0,183828202,2212191,224600,65566122,574322224,8907151,150.0,231033,81,51.0,659475,37.0,20459070,7837,4121636,0,2020
Kafamï¿½ï¿½n ï,Yine ï¿½ï¿½alï,Ebru Yaï¿½ï,2024-05-22,FRX762464095,3355,23.7,4177077,267,3686411,63.0,10927692,75044,,,,,3.0,696,,2.0,1567756,,101,,53530,0,2024
Mr. Brightside,Hot Fuss,The Killers,2004-01-01,USIR20400274,3346,23.7,2174022106,326294,118562432,81.0,183968852,1687112,95566,41707356,294739225,3411865,293.0,210197,217,117.0,1001045,51.0,782100080,350688,8538303,0,2004
Promiscuous,Loose (Japan Version),Nelly Furtado,2006-01-01,USUM70603473,3348,23.7,1194124781,235618,114628125,78.0,810297837,4900990,1041808,255818121,1795501997,1078272185,164.0,74370,337,54.0,595457,52.0,483978772,318408,6254052,0,2006
Black Swan,Black Swan,BTS,2020-01-17,QM4TW2013921,3342,23.7,459923962,28314,17354782,64.0,603350721,14962059,358089,106610222,535835122,128964343,23.0,1,1,9.0,255382,8.0,2581189,10811,1357648,0,2020
HOT,SEVENTEEN 4th Album 'Face the Sun',SEVENTEEN,2022-05-27,USA2P2146867,3352,23.7,210513394,16039,9403249,67.0,270821476,4018096,168012,137124191,797795448,200554634,11.0,2036,6,5.0,41405,16.0,830831,761,432666,0,2022
i'm yours,i'm yours,Isabel LaRosa,2022-10-28,USRC12203917,3361,23.7,320296093,42685,19725874,76.0,27153913,493000,5300,4801108,38533990,,14.0,1032,14,17.0,284750,2.0,1803985,1625,343605,0,2022
Sonchadi | Coke Studio Bharat,Sonchadi | Coke Studio Bharat,digV,2024-05-08,INUM72400400,3349,23.7,1315948,67,879894,60.0,19302655,252094,,,,,,,,,,3.0,,,7198,0,2024
"Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,2011-10-21,USAT21102233,3344,23.7,1431126152,79665,12101555,65.0,192872269,1066231,52477,533633,1195592,,26.0,39051,,4.0,32298,,522661125,1107079,8841027,0,2011
Kamar Teri Left Right Hale,Kamar Teri Left Right Hale - Single,Sandeep Surila,2020-07-24,INA1I2000881,3357,23.7,22148259,2293,380137,56.0,772008576,3498265,2543,40007,477115,,,,,,,,,,71475,0,2020
Carta Aberta,Carta Aberta,MC Cabelinho,2023-11-27,BKLVW2300013,3341,23.7,52754470,6540,6242659,,70458259,761575,,143,2495,582924880,1.0,33,,11.0,335654,9.0,267,,98302,0,2023
Spongebob,Spongebob,Dante9k,2020-01-28,QZFYZ2047242,3356,23.7,902103,800,74253,,,,6100000,3607884570,33359398879,,,9,43,,,,14108,,,0,2020
The Thrill,The Thrill,Wiz Khalifa,2020-11-11,USA2P2033760,3350,23.7,362756358,123477,16148100,72.0,28737121,359092,125196,39650616,374299600,,13.0,1160,,4.0,1227,7.0,21129445,7524,579324,1,2020
Yana Yana,Yana Yana,Semicenk,2023-02-03,DGA082298936,3353,23.7,141236846,15605,2248819,65.0,167722502,502467,47407,2261769,60945277,7986595,7.0,7925,,1.0,1566667,,,,275879,0,2023
CIRCUS MAXIMUS,UTOPIA,Travis Scott,2023-07-28,USSM12305014,3366,23.6,90921914,34656,5338264,64.0,4568866,49813,1115,253737,1606512,,3.0,162,,3.0,1435,10.0,215446,247,81523,1,2023
What is Love,What Is Love,TWICE,2018-04-09,US5TA1800038,3365,23.6,442941122,37463,7860589,67.0,885861488,8213650,477246,138993009,995480226,50891052,21.0,2538,14,2.0,33570,,,,702566,0,2018
SESSO E SAMBA (feat. Gaia),ICON,Tony Effe,2024-05-22,ITUM72400671,3376,23.6,16883730,865,9889978,69.0,5016567,51272,,,,,19.0,1580,,1.0,677370,24.0,5,,84620,1,2024
Pieces,Pieces,Danilo Stankovic,2020-09-17,QZAKB2006575,3367,23.6,5467217,2314,485008,39.0,283023,6614,5119677,2672313847,28032695489,424623,3.0,18,,,,9.0,,,167985,0,2020
Cama Repetida,Sofrï¿½ï¿½ncia Ou Fuleragem? (Ao Vivo / Part,Leo Santana,2023-11-15,BRUM72300667,3387,23.6,74934765,4740,12977480,,78522265,428766,1463,57816,1292457,347089830,8.0,86,,22.0,1917238,3.0,1843,,37487,0,2023
Glue Song,Glue Song - Single,beabadoobee,2023-02-15,GBK3W2302568,3379,23.6,209167955,35685,21027013,73.0,35239823,777957,149730,51782327,275970237,4638734,31.0,6565,877,5.0,20043,35.0,294510,1313,186915,0,2023
Life in Rio,Life in Rio (feat. TOLCHONOV) - Single,Slowboy,2023-03-17,QM4TX2337349,3370,23.6,126698724,18316,17687961,70.0,59317671,717944,5548,10658836,102518739,,1.0,1,,,,5.0,,,456679,1,2023
Iï¿½ï¿½ï¿½m Not Here To Make Friends (feat. Calvin Harris & Jessie ,Gloria,Sam Smith,2023-01-27,GBUM72205420,3386,23.6,146921991,18446,17280612,61.0,37582359,438887,17397,15319975,351979940,405838581,52.0,117393,63,22.0,522491,28.0,803647,663,813738,0,2023
Help Me Help You (feat. Why Don't We),Help Me Help You (feat. Why Don't We),Logan Paul,2017-05-19,USLD91702518,3377,23.6,82539441,6224,1056938,45.0,622214179,7775615,4511709,30197076,137325098,146516351,2.0,6,,,,,11277667,109738,250574,0,2017
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,fellow fellow,2023-08-29,DGA072377012,3378,23.6,43756807,6019,1678608,61.0,122496150,488640,,13562600,143782439,34456773,10.0,1347,,,,,,,90968,0,2023
Distraction,Distraction,Polo G,2022-06-03,USSM12204451,3383,23.6,103549505,45954,8112561,55.0,40937892,673845,10162,2101769,21878255,513324738,22.0,3795,35,7.0,73406,8.0,6567553,1983,177908,1,2022
VIBE (feat. Jimin of BTS),VIBE,TAEYANG,2023-01-13,KSA002300017,3372,23.6,218831350,14013,18896639,60.0,144395167,,236412,100972780,595970672,6017263,9.0,5595,32,7.0,478895,12.0,1673206,594,322685,0,2023
Kï¿½ï¿½R,Kï¿½ï¿½R,KAROL G,2023-02-23,USUM72222551,3369,23.6,114323355,16398,4576843,64.0,97148590,542833,388748,27314002,322572081,,10.0,1999,12,4.0,117154,,9369281,697,352127,0,2023
Bussin (with Rob49),Bussin (with Rob49),Moneybagg Yo,2024-03-29,USUM72403387,3368,23.6,8635035,1798,5447625,,10028217,114938,,,,4441624,13.0,3,103,3.0,1339895,18.0,8250159,1410,119242,1,2024
back to the moon,a Gift & a Curse,Gunna,2023-06-16,USAT22306571,3373,23.6,65374827,33151,5818874,63.0,30059409,305484,8010,1144996,11013533,161795530,28.0,206,5,2.0,71278,6.0,2576261,1393,203363,1,2023
FourFiveSeconds,FourFiveSeconds,Rihanna,2015-01-24,USJMT1500001,3374,23.6,1134470968,131102,42604016,72.0,571589993,3107613,,2626,5272,226680849,93.0,44682,13,90.0,481520,13.0,222350639,113223,8909457,0,2015
Washing Machine Heart,Be the Cowboy,Mitski,2018-08-17,USJ5G1815012,3388,23.6,743015700,133098,31345611,77.0,177148832,2616878,199978,173568712,1004422009,330,14.0,647,250,,,29.0,4304887,16043,1821714,0,2018
SAN BENEDETTO,FOREGROUND MUSIC,Ron Gallo,2023-03-03,USKRS2374406,3371,23.6,53305,79,1893,8.0,260221988,675745,2,91,3074,,,13,,,,,911,,,0,2023
