Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track,Year
No Me Acuerdo,No Me Acuerdo,Thalia,2018-06-01,USSD11800192,1733,35.0,367530155,32622,11307517,60.0,1521849468,5084821,277425,6574575,160130753,380344538,46.0,15503,,25.0,51160,31.0,20732370,17495,1746790,0,2018
Abcdario,Abcdario,Eden Muï¿½ï,2023-05-13,MXB952300035,1738,35.0,262504588,19709,8079760,72.0,149083889,660503,1,33,939,10312183,20.0,1140,,5.0,1365319,3.0,8484383,4718,657427,0,2023
Freestyle,Too Hard,Lil Baby,2017-12-01,QZ4JX1760834,1735,35.0,706489684,169855,37807345,75.0,755884858,3716581,33905,16142417,109113917,250831157,83.0,797,40,14.0,258389,10.0,145578693,81846,2193924,1,2017
Una Locura,ENOC,Ozuna,2020-09-04,USXDR2000574,1732,35.0,584776407,77768,24701564,66.0,634293431,2732963,54400,4039386,53047506,31169927,91.0,10020,26,18.0,103623,31.0,19304549,3277,1497732,0,2020
double take,double take,Dhruv,2019-05-24,GBMJG1911043,1737,35.0,826685494,106975,21112809,76.0,353174602,2826209,2516713,555171983,4653743727,166290699,39.0,13341,9,7.0,49460,4.0,433712,1592,1873276,0,2019
Trip,Trip,Ella Mai,2018-08-03,USUM71810720,1747,34.9,502147027,69350,20445990,66.0,543883053,3896527,1444867,22688020,208386139,95476628,64.0,131301,27,21.0,153682,22.0,318057593,144672,3345381,0,2018
Ni Una Ni Dos,Ni Una Ni Dos,BM,2023-06-28,UYB282364003,1743,34.9,139873877,17771,7444560,65.0,177205271,711929,56200,2482467,28960322,223572730,,3206,,8.0,456100,14.0,,,151799,1,2023
Un Desperdicio,Un Desperdicio,Rels B,2024-04-25,UYB282476008,1750,34.9,62552825,3045,44211129,78.0,16726488,252529,,,,3058545,4.0,52,,4.0,23479,13.0,133038,56,95975,0,2024
El Boss,El Boss,Gabito Ballesteros,2024-03-28,USA2P2415440,1746,34.9,81942319,3580,30332860,84.0,34566311,283283,,,,,10.0,1,,4.0,1104753,16.0,460206,191,71332,1,2024
La Corriente,Un Verano Sin Ti,Bad Bunny,2022-05-06,QM6MZ2214883,1745,34.9,591704263,65115,16254572,71.0,179847217,1213273,120800,26994022,266064027,24137183,12.0,6564,6,3.0,189015,3.0,36848007,3102,977339,1,2022
POLARIS - Remix,POLARIS (Remix),SAIKO,2023-06-08,QM6P42393140,1749,34.9,238718077,44094,17083557,69.0,62158239,412554,,,,4863567,39.0,3846,,5.0,556881,13.0,195992,,415040,1,2023
Love Tonight - David Guetta Remix Edit,Love Tonight (David Guetta Remix),Shouse,2021-06-11,USA2P2120718,1748,34.9,449513936,160789,40271009,72.0,1063180,11919,310148,90949587,1286306864,,78.0,24500,,29.0,411337,21.0,25598460,7330,,0,2021
5 Foot 9,5 Foot 9,Tyler Hubbard,2022-05-20,USUM72206482,1742,34.9,193680404,27754,13141220,65.0,893876,7807,104632,16161805,161738459,,18.0,283251,155,2.0,87897,29.0,88808802,26418,670234,0,2022
Mejor Que Ayer,Mejor Que Ayer - Single,Diego Torres,2023-08-31,USSD12300381,1744,34.9,28210202,5046,2986473,,31452943,243718,823103,5145272,108989284,23885728,1.0,24023,5,10.0,62892,,239648,247,350257,0,2023
Lalala,Lalala - Single,ati2x06,2024-01-17,ES64E2455099,1751,34.8,966112900,1,124,,,,,,,,,,,,,,,,,0,2024
Broadway Girls (feat. Morgan Wallen),Broadway Girls (feat. Morgan Wallen),Lil Durk,2021-12-17,USQX92105926,1758,34.8,344369903,66276,8339705,72.0,208397689,1732879,45015,10444331,130467912,483357127,21.0,1354,9,1.0,6573,18.0,101260772,56855,811835,0,2021
Se Te Nota (with Guaynaa),Se Te Nota (with Guaynaa),Lele Pons,2020-09-02,USUM72016220,1756,34.8,437956158,52166,18095179,62.0,536897289,3802052,1700000,122204815,1108855948,265176894,62.0,21532,,21.0,124707,19.0,15039693,4470,1265186,0,2020
Ameno Amapiano Remix (You Wanna Bamba),Ameno Amapiano Remix - Single,Goya Menor,2022-01-07,DEE862200008,1759,34.8,62243984,26772,2001961,51.0,71389072,723554,3000259,507480021,8578793997,1494669,36.0,25673,,13.0,225567,,,,4626627,1,2022
Canon and Gigue for Three Violins and Continuo in D Major: Canon,"The Academy in Concert. Albinoni: Adagio - Pachelbel: Canon - Bach: Air & Music By Beethoven, Handel, Mendelssohn, Mozart",Sir Neville Marriner,2024-05-17,GBAYC2302025,1752,34.8,88934872,4,188,,,,,,,,,,,,,,10974994,3270,,0,2024
See You Dance (Extended Mix),See You Dance (Extended Mix) - Single,DJ Meetch,2023-03-06,QZES52309758,1760,34.8,,1,137,4.0,402618045,2927219,,,,152211,,3,,,,,,,19,0,2023
Cake By The Ocean - Cover,Tik Toker Party Hits,MUSIC LAB JPN,2023-10-05,TCJPX2358241,1753,34.8,1619109147,,,,,,,,,,,,,,,,,,,1,2023
MAMACITA,Mamacita,Black Eyed Peas,2020-04-09,USSM12001556,1755,34.8,527632887,84301,21657743,58.0,395922237,2379259,676395,37832920,479492465,173481731,122.0,136368,47,92.0,2543215,26.0,48979157,28733,6266607,1,2020
I Took A Pill In Ibiza - Seeb Remix,I Took A Pill In Ibiza (Seeb Remix),Mike Posner,2015-07-24,USUM71509342,1757,34.8,1949596473,230708,75554079,76.0,28931814,344218,86209,13537686,141060421,11818,232.0,121489,,88.0,400591,44.0,424769855,323572,23744240,1,2015
No Fuss,Take Me Alive,Zeme Libre,2023-01-31,USCGH2304209,1754,34.8,1332,5,1470,,411286256,1717893,,,,,,8,,,,,,,3,0,2023
El Efecto,El Efecto,Rauw Alejandro,2019-03-15,QM4TX1940916,1766,34.7,580054244,72991,32213511,72.0,994008600,4660138,224269,39436962,404797553,153838066,26.0,7887,20,11.0,252415,22.0,23201439,5578,2734291,0,2019
What Lovers Do (feat. SZA),What Lovers Do (feat. SZA),Maroon 5,2017-08-30,USUM71709292,1763,34.7,1206495254,92624,27086243,68.0,729438090,3360678,2283,8158792,50038733,631907969,131.0,99290,130,67.0,471585,42.0,357633540,82582,11431801,0,2017
Dream Girl,Dream Girl,Izellah,2023-03-23,SGB502323140,1762,34.7,377401,48,19503,30.0,,,1900000,22131953,370465516,,,,,,,,,,14725,0,2023
Zona De Perigo,Zona De Perigo,Leo Santana,2022-12-08,BRUM72202246,1764,34.7,182793453,18476,8152728,61.0,202826223,1281118,1000000,129460794,1821638330,29439094,15.0,1965,,31.0,315631,14.0,76819,,,0,2022
Crazy Form,THE WORLD EP.FIN : WILL,ATEEZ,2023-12-01,KRD442300022,1765,34.7,58520078,5454,5075458,,123416768,976454,8035,14763613,62979168,1488882238,9.0,1452,20,3.0,236558,9.0,414834,516,143319,0,2023
Kehribar,Kehribar - Single,Burak Bulut,2023-09-29,DGA092378278,1761,34.7,68985345,7062,5463250,67.0,158339797,375656,37700,311331,13290393,388282635,5.0,,,3.0,1583000,,,,280877,0,2023
SAY MY GRACE (feat. Travis Scott),SET IT OFF,Offset,2023-10-13,USUM72313167,1770,34.6,118851626,37413,40394035,,9045800,253282,,602272,5441741,259031618,23.0,1577,43,15.0,316542,3.0,2172626,508,,1,2023
Drugs From Amsterdam,Drugs From Amsterdam,Mau P,2022-08-17,GBK6Y2251421,1776,34.6,170829903,97012,41938004,68.0,20734303,268271,16820,9430231,125870792,5679523,30.0,26450,344,28.0,72065,8.0,1103480,970,1386260,0,2022
M.A - Remix,M.A (Remix),BM,2023-04-05,UYB282364001,1768,34.6,123113806,23659,5505641,61.0,227307854,698274,,,,149539951,4.0,2825,,6.0,22833,13.0,,,159702,1,2023
